Iter 13 | Total: 28.5970 | LL: -18.9232 | CE: 9.6738
Iter 14 | Total: 28.2071 | LL: -18.4420 | CE: 9.7651
Iter 15 | Total: 27.9071 | LL: -18.0202 | CE: 9.8869
Iter 16 | Total: 27.6905 | LL: -17.6526 | CE: 10.0379
Iter 17 | Total: 27.5506 | LL: -17.3340 | CE: 10.2166
Iter 18 | Total: 27.4800 | LL: -17.0589 | CE: 10.4212
Iter 19 | Total: 27.4712 | LL: -16.8211 | CE: 10.6501
Iter 20 | Total: 27.5167 | LL: -16.6150 | CE: 10.9017
Iter 21 | Total: 27.6099 | LL: -16.4353 | CE: 11.1746
Iter 22 | Total: 27.7455 | LL: -16.2779 | CE: 11.4675
Iter 23 | Total: 27.9186 | LL: -16.1394 | CE: 11.7792
Iter 24 | Total: 28.1254 | LL: -16.0171 | CE: 12.1083
Iter 25 | Total: 28.3627 | LL: -15.9087 | CE: 12.4540
Iter 26 | Total: 28.6274 | LL: -15.8124 | CE: 12.8150
Iter 27 | Total: 28.9172 | LL: -15.7267 | CE: 13.1905
Iter 28 | Total: 29.2297 | LL: -15.6504 | CE: 13.5793
Iter 29 | Total: 29.5629 | LL: -15.5823 | CE: 13.9806
Iter 0 | Total: 45.5931 | LL: -34.9611 | CE: 10.6320
Iter 1 | Total: 40.6845 | LL: -30.1464 | CE: 10.5381
Iter 2 | Total: 37.7641 | LL: -27.3983 | CE: 10.3658
Iter 3 | Total: 35.8104 | LL: -25.5916 | CE: 10.2187
Iter 4 | Total: 34.3370 | LL: -24.2187 | CE: 10.1183
Iter 5 | Total: 33.1386 | LL: -23.0706 | CE: 10.0680
Iter 6 | Total: 32.1351 | LL: -22.0658 | CE: 10.0693
Iter 7 | Total: 31.2973 | LL: -21.1735 | CE: 10.1238
Iter 8 | Total: 30.6147 | LL: -20.3820 | CE: 10.2327
Iter 9 | Total: 30.0804 | LL: -19.6846 | CE: 10.3959
Iter 10 | Total: 29.6849 | LL: -19.0729 | CE: 10.6121
Iter 11 | Total: 29.4156 | LL: -18.5366 | CE: 10.8791
Iter 12 | Total: 29.2605 | LL: -18.0662 | CE: 11.1943
Iter 13 | Total: 29.2097 | LL: -17.6545 | CE: 11.5552
Iter 14 | Total: 29.2552 | LL: -17.2958 | CE: 11.9594
Iter 15 | Total: 29.3893 | LL: -16.9848 | CE: 12.4046
Iter 16 | Total: 29.6043 | LL: -16.7158 | CE: 12.8884
Iter 17 | Total: 29.8919 | LL: -16.4835 | CE: 13.4084
Iter 18 | Total: 30.2439 | LL: -16.2827 | CE: 13.9613
Iter 19 | Total: 30.6522 | LL: -16.1087 | CE: 14.5435
Iter 20 | Total: 31.1093 | LL: -15.9577 | CE: 15.1516
Iter 21 | Total: 31.6086 | LL: -15.8262 | CE: 15.7824
Iter 22 | Total: 32.1440 | LL: -15.7115 | CE: 16.4325
Iter 23 | Total: 32.7099 | LL: -15.6114 | CE: 17.0986
Iter 24 | Total: 33.3010 | LL: -15.5239 | CE: 17.7771
Iter 25 | Total: 33.9122 | LL: -15.4476 | CE: 18.4646
Iter 26 | Total: 34.5394 | LL: -15.3813 | CE: 19.1581
Iter 27 | Total: 35.1784 | LL: -15.3236 | CE: 19.8548
Iter 28 | Total: 35.8256 | LL: -15.2738 | CE: 20.5518
Iter 29 | Total: 36.4774 | LL: -15.2308 | CE: 21.2466
Iter 0 | Total: 57.8201 | LL: -47.1522 | CE: 10.6679
Iter 1 | Total: 47.1046 | LL: -36.5198 | CE: 10.5848
Iter 2 | Total: 42.0048 | LL: -31.5567 | CE: 10.4481
Iter 3 | Total: 39.2111 | LL: -28.8864 | CE: 10.3247
Iter 4 | Total: 37.3322 | LL: -27.1179 | CE: 10.2143
Iter 5 | Total: 35.8429 | LL: -25.7309 | CE: 10.1120
Iter 6 | Total: 34.5537 | LL: -24.5334 | CE: 10.0203
Iter 7 | Total: 33.4047 | LL: -23.4581 | CE: 9.9466
Iter 8 | Total: 32.3845 | LL: -22.4850 | CE: 9.8995
Iter 9 | Total: 31.4964 | LL: -21.6102 | CE: 9.8861
Iter 10 | Total: 30.7443 | LL: -20.8330 | CE: 9.9113
Iter 11 | Total: 30.1268 | LL: -20.1495 | CE: 9.9773
Iter 12 | Total: 29.6361 | LL: -19.5519 | CE: 10.0842
Iter 13 | Total: 29.2606 | LL: -19.0300 | CE: 10.2306
Iter 14 | Total: 28.9874 | LL: -18.5730 | CE: 10.4143
Iter 15 | Total: 28.8038 | LL: -18.1712 | CE: 10.6326
Iter 16 | Total: 28.6991 | LL: -17.8165 | CE: 10.8826
Iter 17 | Total: 28.6641 | LL: -17.5026 | CE: 11.1615
Iter 18 | Total: 28.6915 | LL: -17.2249 | CE: 11.4666
Iter 19 | Total: 28.7749 | LL: -16.9792 | CE: 11.7957
Iter 20 | Total: 28.9089 | LL: -16.7622 | CE: 12.1467
Iter 21 | Total: 29.0886 | LL: -16.5707 | CE: 12.5179
Iter 22 | Total: 29.3097 | LL: -16.4018 | CE: 12.9078
Iter 23 | Total: 29.5679 | LL: -16.2528 | CE: 13.3151
Iter 24 | Total: 29.8593 | LL: -16.1210 | CE: 13.7382
Iter 25 | Total: 30.1801 | LL: -16.0044 | CE: 14.1757
Iter 26 | Total: 30.5268 | LL: -15.9008 | CE: 14.6259
Iter 27 | Total: 30.8959 | LL: -15.8088 | CE: 15.0871
Iter 28 | Total: 31.2842 | LL: -15.7267 | CE: 15.5576
Iter 29 | Total: 31.6891 | LL: -15.6534 | CE: 16.0357
  0%|          | 0/8 [00:00<?, ?it/s] 25%|██▌       | 2/8 [00:00<00:00, 19.13it/s] 50%|█████     | 4/8 [00:00<00:00, 17.90it/s] 75%|███████▌  | 6/8 [00:00<00:00, 17.95it/s]100%|██████████| 8/8 [00:00<00:00, 17.86it/s]100%|██████████| 8/8 [00:00<00:00, 17.96it/s]
  0%|          | 0/21232 [00:00<?, ?it/s] 27%|██▋       | 5645/21232 [00:00<00:00, 56427.32it/s] 56%|█████▋    | 11945/21232 [00:00<00:00, 60287.92it/s] 85%|████████▌ | 18098/21232 [00:00<00:00, 60850.99it/s]100%|██████████| 21232/21232 [00:00<00:00, 60840.34it/s]
  [TOTAL] Cells: 21232  | ARI: 0.3650
  [CLEAN] Cells: 1349   | ARI: 0.6721
  [MIXED] Cells: 19883  | ARI: 0.3583

-> Processing: B005_Ascending (17312 cells)
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 4 patches with halo...
  0%|          | 0/4 [00:00<?, ?it/s] 25%|██▌       | 1/4 [00:00<00:00,  6.32it/s] 50%|█████     | 2/4 [00:00<00:00,  5.83it/s] 75%|███████▌  | 3/4 [00:00<00:00,  5.84it/s]100%|██████████| 4/4 [00:00<00:00,  5.76it/s]100%|██████████| 4/4 [00:00<00:00,  5.82it/s]
Iter 0 | Total: 57.3757 | LL: -46.6810 | CE: 10.6947
Iter 1 | Total: 49.0246 | LL: -38.4077 | CE: 10.6169
Iter 2 | Total: 44.8274 | LL: -34.3397 | CE: 10.4876
Iter 3 | Total: 42.3664 | LL: -32.0006 | CE: 10.3658
Iter 4 | Total: 40.6263 | LL: -30.3761 | CE: 10.2501
Iter 5 | Total: 39.2025 | LL: -29.0711 | CE: 10.1314
Iter 6 | Total: 37.9388 | LL: -27.9343 | CE: 10.0045
Iter 7 | Total: 36.7785 | LL: -26.9091 | CE: 9.8694
Iter 8 | Total: 35.7067 | LL: -25.9774 | CE: 9.7293
Iter 9 | Total: 34.7247 | LL: -25.1355 | CE: 9.5891
Iter 10 | Total: 33.8350 | LL: -24.3812 | CE: 9.4538
Iter 11 | Total: 33.0358 | LL: -23.7084 | CE: 9.3273
Iter 12 | Total: 32.3211 | LL: -23.1082 | CE: 9.2129
Iter 13 | Total: 31.6840 | LL: -22.5712 | CE: 9.1128
Iter 14 | Total: 31.1179 | LL: -22.0896 | CE: 9.0283
Iter 15 | Total: 30.6175 | LL: -21.6569 | CE: 8.9606
Iter 16 | Total: 30.1779 | LL: -21.2677 | CE: 8.9102
Iter 17 | Total: 29.7957 | LL: -20.9177 | CE: 8.8780
Iter 18 | Total: 29.4677 | LL: -20.6031 | CE: 8.8646
Iter 19 | Total: 29.1916 | LL: -20.3209 | CE: 8.8708
Iter 20 | Total: 28.9656 | LL: -20.0683 | CE: 8.8973
Iter 21 | Total: 28.7883 | LL: -19.8428 | CE: 8.9455
Iter 22 | Total: 28.6586 | LL: -19.6421 | CE: 9.0165
Iter 23 | Total: 28.5758 | LL: -19.4638 | CE: 9.1120
Iter 24 | Total: 28.5396 | LL: -19.3058 | CE: 9.2338
Iter 25 | Total: 28.5498 | LL: -19.1659 | CE: 9.3839
Iter 26 | Total: 28.6064 | LL: -19.0423 | CE: 9.5641
Iter 27 | Total: 28.7094 | LL: -18.9332 | CE: 9.7762
Iter 28 | Total: 28.8590 | LL: -18.8369 | CE: 10.0220
Iter 29 | Total: 29.0552 | LL: -18.7523 | CE: 10.3029
Iter 0 | Total: 66.0882 | LL: -55.2675 | CE: 10.8207
Iter 1 | Total: 53.2217 | LL: -42.4640 | CE: 10.7576
Iter 2 | Total: 47.4255 | LL: -36.7698 | CE: 10.6556
Iter 3 | Total: 44.3885 | LL: -33.8322 | CE: 10.5563
Iter 4 | Total: 42.4097 | LL: -31.9482 | CE: 10.4615
Iter 5 | Total: 40.8366 | LL: -30.4751 | CE: 10.3615
Iter 6 | Total: 39.4253 | LL: -29.1775 | CE: 10.2478
Iter 7 | Total: 38.0932 | LL: -27.9760 | CE: 10.1172
Iter 8 | Total: 36.8234 | LL: -26.8515 | CE: 9.9719
Iter 9 | Total: 35.6248 | LL: -25.8078 | CE: 9.8170
Iter 10 | Total: 34.5138 | LL: -24.8538 | CE: 9.6600
Iter 11 | Total: 33.5047 | LL: -23.9963 | CE: 9.5084
Iter 12 | Total: 32.6038 | LL: -23.2348 | CE: 9.3690
Iter 13 | Total: 31.8095 | LL: -22.5624 | CE: 9.2471
Iter 14 | Total: 31.1152 | LL: -21.9689 | CE: 9.1463
Iter 15 | Total: 30.5128 | LL: -21.4441 | CE: 9.0687
Iter 16 | Total: 29.9949 | LL: -20.9796 | CE: 9.0153
Iter 17 | Total: 29.5547 | LL: -20.5688 | CE: 8.9859
Iter 18 | Total: 29.1854 | LL: -20.2055 | CE: 8.9799
Iter 19 | Total: 28.8807 | LL: -19.8843 | CE: 8.9963
Iter 20 | Total: 28.6343 | LL: -19.6003 | CE: 9.0340
