Iter 15 | Total: 33.0134 | LL: -26.7481 | CE: 6.2653
Iter 16 | Total: 32.4858 | LL: -26.3710 | CE: 6.1149
Iter 17 | Total: 32.0186 | LL: -26.0427 | CE: 5.9759
Iter 18 | Total: 31.6031 | LL: -25.7556 | CE: 5.8475
Iter 19 | Total: 31.2321 | LL: -25.5031 | CE: 5.7290
Iter 20 | Total: 30.8996 | LL: -25.2802 | CE: 5.6194
Iter 21 | Total: 30.6006 | LL: -25.0824 | CE: 5.5182
Iter 22 | Total: 30.3312 | LL: -24.9065 | CE: 5.4247
Iter 23 | Total: 30.0882 | LL: -24.7494 | CE: 5.3388
Iter 24 | Total: 29.8689 | LL: -24.6088 | CE: 5.2600
Iter 25 | Total: 29.6711 | LL: -24.4826 | CE: 5.1884
Iter 26 | Total: 29.4929 | LL: -24.3691 | CE: 5.1238
Iter 27 | Total: 29.3328 | LL: -24.2667 | CE: 5.0661
Iter 28 | Total: 29.1895 | LL: -24.1742 | CE: 5.0153
Iter 29 | Total: 29.0619 | LL: -24.0905 | CE: 4.9714
Iter 0 | Total: 72.4679 | LL: -63.2709 | CE: 9.1970
Iter 1 | Total: 57.9218 | LL: -48.8983 | CE: 9.0235
Iter 2 | Total: 49.7517 | LL: -41.0247 | CE: 8.7270
Iter 3 | Total: 45.1141 | LL: -36.6516 | CE: 8.4625
Iter 4 | Total: 42.2177 | LL: -33.9829 | CE: 8.2347
Iter 5 | Total: 40.2173 | LL: -32.1870 | CE: 8.0303
Iter 6 | Total: 38.7173 | LL: -30.8779 | CE: 7.8394
Iter 7 | Total: 37.5261 | LL: -29.8684 | CE: 7.6577
Iter 8 | Total: 36.5443 | LL: -29.0595 | CE: 7.4847
Iter 9 | Total: 35.7152 | LL: -28.3939 | CE: 7.3213
Iter 10 | Total: 35.0028 | LL: -27.8348 | CE: 7.1680
Iter 11 | Total: 34.3810 | LL: -27.3562 | CE: 7.0248
Iter 12 | Total: 33.8299 | LL: -26.9386 | CE: 6.8913
Iter 13 | Total: 33.3352 | LL: -26.5686 | CE: 6.7667
Iter 14 | Total: 32.8873 | LL: -26.2369 | CE: 6.6503
Iter 15 | Total: 32.4800 | LL: -25.9380 | CE: 6.5419
Iter 16 | Total: 32.1094 | LL: -25.6684 | CE: 6.4410
Iter 17 | Total: 31.7726 | LL: -25.4251 | CE: 6.3475
Iter 18 | Total: 31.4671 | LL: -25.2058 | CE: 6.2613
Iter 19 | Total: 31.1907 | LL: -25.0083 | CE: 6.1824
Iter 20 | Total: 30.9416 | LL: -24.8306 | CE: 6.1110
Iter 21 | Total: 30.7181 | LL: -24.6708 | CE: 6.0473
